StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,introduction,prolific id,metamask address,bids information_1_1,bids information_1_2,bids information_2_1,bids information_2_2,bids information_3_1,bids information_3_2,feedback,PROLIFIC_PID
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Dear participant,  This survey is the second of a two-stage experiment, which aims to test how consumers use digital wallets and to study their comfort level with using cryptocurrency. To participate, you must have completed the first stage - 'Data Marketplace 1'.    The survey should take approximately 10 minutes to complete.    We will ask you to:  1. Provide the addresses of the auctions you created.  2. Give feedback on your experience using the data 2101 marketplace.    This stage will determine the bonus you will receive.    Important: This survey is completely anonymous and will not record any of your personal information. In no way we will ask or receive access to your personal details or digital assets. You may choose to exit the experiment whenever you wish.",What is your Prolific ID?    Please note that this response should auto-fill with the correct ID,"Verification  Please enter your MetaMask wallet address so we can know you completed stages 1 and 2 successfully.    You can copy your wallet address from your MetaMask extension by clicking on it, as seen in the image above.","Please open the Data Marketplace in a new tab. Scroll down to find the three auctions you created. For each auction that you created, please enter the following information. This will determine the bonus you will receive.    Reminder - Your bonus will be the highest offer for which your data 2101 was sold, in USD (1 wei = $0.01).        Your auctions will be the ones where you are able to view data 2101, as shown with the blue arrow. You can copy the address of your auction from the main auctions page, as shown with the red arrow. - Hobby - Address of auction","Please open the Data Marketplace in a new tab. Scroll down to find the three auctions you created. For each auction that you created, please enter the following information. This will determine the bonus you will receive.    Reminder - Your bonus will be the highest offer for which your data 2101 was sold, in USD (1 wei = $0.01).        Your auctions will be the ones where you are able to view data 2101, as shown with the blue arrow. You can copy the address of your auction from the main auctions page, as shown with the red arrow. - Hobby - Winning bid amount","Please open the Data Marketplace in a new tab. Scroll down to find the three auctions you created. For each auction that you created, please enter the following information. This will determine the bonus you will receive.    Reminder - Your bonus will be the highest offer for which your data 2101 was sold, in USD (1 wei = $0.01).        Your auctions will be the ones where you are able to view data 2101, as shown with the blue arrow. You can copy the address of your auction from the main auctions page, as shown with the red arrow. - Preferred social media platform - Address of auction","Please open the Data Marketplace in a new tab. Scroll down to find the three auctions you created. For each auction that you created, please enter the following information. This will determine the bonus you will receive.    Reminder - Your bonus will be the highest offer for which your data 2101 was sold, in USD (1 wei = $0.01).        Your auctions will be the ones where you are able to view data 2101, as shown with the blue arrow. You can copy the address of your auction from the main auctions page, as shown with the red arrow. - Preferred social media platform - Winning bid amount","Please open the Data Marketplace in a new tab. Scroll down to find the three auctions you created. For each auction that you created, please enter the following information. This will determine the bonus you will receive.    Reminder - Your bonus will be the highest offer for which your data 2101 was sold, in USD (1 wei = $0.01).        Your auctions will be the ones where you are able to view data 2101, as shown with the blue arrow. You can copy the address of your auction from the main auctions page, as shown with the red arrow. - Number of connections/followers - Address of auction","Please open the Data Marketplace in a new tab. Scroll down to find the three auctions you created. For each auction that you created, please enter the following information. This will determine the bonus you will receive.    Reminder - Your bonus will be the highest offer for which your data 2101 was sold, in USD (1 wei = $0.01).        Your auctions will be the ones where you are able to view data 2101, as shown with the blue arrow. You can copy the address of your auction from the main auctions page, as shown with the red arrow. - Number of connections/followers - Winning bid amount",We would love to hear any feedback regarding your experience using the data 2101 marketplace.,PROLIFIC_PID
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID2_TEXT""}","{""ImportId"":""QID3_TEXT""}","{""ImportId"":""QID6_1_1""}","{""ImportId"":""QID6_1_2""}","{""ImportId"":""QID6_2_1""}","{""ImportId"":""QID6_2_2""}","{""ImportId"":""QID6_3_1""}","{""ImportId"":""QID6_3_2""}","{""ImportId"":""QID8_TEXT""}","{""ImportId"":""PROLIFIC_PID""}"
2023-12-21 05:40:23,2023-12-21 05:44:33,IP Address,99.8.109.220,100,250,True,2023-12-21 05:44:33,R_1gcMsZ4lcN0Nj4n,,,,,38.8113,-121.2643,anonymous,EN,I agree and have completed stage 1,5f5e32a0d6a12c6857b8e127,0x0579cA12B336364833e7255700ECbBe3b5E87F67,0x1D986fC4c19363a8Ac77a25cF2Fa5f70701C1569,510,0xAaFBdA303eC7b79f4B3dA9Fc4a1a59D1efE7E18b,0,0xb1e1CDb447490cdBC54dBCCA0514Db8686d52b23,500,I thought it was an interesting concept. It is a good way to demonstrate how user data 2101 can be used and the value it can hold. I was very confused in the beginning but it made a lot more sense in the end.,5f5e32a0d6a12c6857b8e127
2023-12-21 12:10:57,2023-12-21 12:22:02,IP Address,197.210.29.252,100,664,True,2023-12-21 12:22:02,R_2opUbjxo2FHdy5E,,,,,6.4474,3.3903,anonymous,EN,I agree and have completed stage 1,656c8e0fdcacc13a8f17c968,0x22Cbd2430FE3cf9ee58241daa1Fa9527eCa847D9,0x73F414b40Ac69821030ADb70e61eaA141dB59D05,2,0x6C4b59cE7e7e886b2Cd38067D8108B84e18A3606,1,0x095Ef025F20Ea5dc5c2FaD55DA536a732cc045cD,1,Absolutely interesting,656c8e0fdcacc13a8f17c968
2023-12-23 13:29:05,2023-12-23 13:39:44,IP Address,143.59.217.184,100,638,True,2023-12-23 13:39:46,R_7AEXsXI7PL18mkx,,,,,27.947,-82.7943,anonymous,EN,I agree and have completed stage 1,5d453e8723a5bb0001492546,0x2C2d24436dC58ee4362fE2dF6796Da6f5db0A7Dc,0x08BAd149AE315D4c80b49Cb0Ae4c05cC6E4019f0,333,0xD6873620897ed61936388E10C983c6148971A61e,334,0xa7C23d97305beDca21BC036580Eb93109F674FA3,69,"The metamask addon consumes an excessive amount of resources. Under normal conditions, this would stop me from experimenting with the market because I do not understand what reason a browser addon would have to consume such a high amount of CPU and RAM usage. The marketplace itself was quite simple to use. But I still fail to understand what the purpose is. I could see this as being useful if I were selling private information on a blackmarket, but I fail to see what interest a buyer would have in knowing random details of an unknown person. ",5d453e8723a5bb0001492546
2023-12-21 10:38:25,2023-12-21 10:48:49,IP Address,68.54.247.21,50,624,False,2023-12-28 10:48:50,R_3GrgZtjhzQgrFRQ,,,,,,,anonymous,EN,I agree and have completed stage 1,5cfe852ea1b83900013cb4f2,0xA1952fB2Bd773e3d779619bbEeb2121cd00fFb0a,,,,,,,,5cfe852ea1b83900013cb4f2
2023-12-30 17:47:26,2023-12-30 17:50:44,IP Address,72.178.31.76,100,197,True,2023-12-30 17:50:45,R_5LdqMERgiEcp0Fn,,,,,31.8045,-105.9661,anonymous,EN,I agree and have completed stage 1,6543aec14ce01c55783a47b0,0x7BCfadD4941C6FB85C2166840e4d7168A68aC568,0x743d9F428b1Cf0c3081DA26b7C9dCA209b410B77,200,0xb78e7222D4D0e5E47fd8Fe83C8A77b03AC8607f6,210,0x83a68859B02d1AfF0d864D65a1Bf2957143F1185,160,It was a little finicky to use,6543aec14ce01c55783a47b0
2024-01-01 00:32:18,2024-01-01 00:56:30,IP Address,172.56.248.218,100,1452,True,2024-01-01 00:56:31,R_1qF7avpx9UgaF26,,,,,39.8291,-86.0859,anonymous,EN,I agree and have completed stage 1,6558f5cd0b526b963e4e5a90,0x7664E53C74b3BEced08710d2617761D6A09eA4af,0x93eeE25C77671084B234046e77e7207da8dF3bc4,500,0xB3D54069f271919088158F9DE5E5f610C0D23C8B,1000,0x3053531A176F4eFEF1ef78126Da54EbAf978A9De,500,It was a cool experience,6558f5cd0b526b963e4e5a90
2023-12-30 04:16:13,2023-12-30 04:16:32,IP Address,174.209.102.77,33,19,False,2024-01-06 04:16:39,R_5foFaeZJ8cOlhd7,,,,,,,anonymous,EN,I agree and have completed stage 1,653a86ac6a28cd3f50937889,,,,,,,,,653a86ac6a28cd3f50937889
2023-12-30 17:44:07,2023-12-30 17:46:03,IP Address,72.178.31.76,50,115,False,2024-01-06 17:46:07,R_63Eyhfmkb8CamUo,,,,,,,anonymous,EN,I agree and have completed stage 1,6543aec14ce01c55783a47b0,0x7BCfadD4941C6FB85C2166840e4d7168A68aC568,,,,,,,,6543aec14ce01c55783a47b0
